Round;Time death (s);Killer;Killer side;Killer team;Killer bot;Killer blinded;Victim;Victim side;Victim team;Victim_blinded;Weapon;Headshot;Crouching;Trade_kill
1;25,69;ropz;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;Glock-18;TRUE;FALSE;FALSE
1;35,39;rain;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;Glock-18;TRUE;TRUE;FALSE
1;47,06;rain;T;FaZe Clan;FALSE;TRUE;m0NESY;CT;G2 Esports;TRUE;Glock-18;TRUE;FALSE;FALSE
1;54,8;ropz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;Glock-18;TRUE;FALSE;FALSE
1;60,43;NiKo;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;USP-S;FALSE;FALSE;FALSE
1;64,19;ropz;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;Glock-18;FALSE;TRUE;TRUE
2;68,62;karrigan;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;MAC-10;FALSE;FALSE;FALSE
2;69,62;m0NESY;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;Desert Eagle;TRUE;FALSE;TRUE
2;70,2;broky;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;Galil AR;TRUE;FALSE;FALSE
2;71,35;m0NESY;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;Desert Eagle;FALSE;TRUE;FALSE
2;71,45;broky;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;Galil AR;TRUE;FALSE;TRUE
2;72,91;rain;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
2;105,8;HooXi;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;Five-SeveN;TRUE;FALSE;FALSE
3;48,76;huNter;CT;G2 Esports;FALSE;TRUE;karrigan;T;FaZe Clan;FALSE;Five-SeveN;TRUE;FALSE;FALSE
3;63,87;jks;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;USP-S;TRUE;FALSE;FALSE
3;65,34;broky;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;TRUE
3;73,5;Twistzz;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;Galil AR;TRUE;FALSE;FALSE
3;93,85;ropz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;FALSE;TRUE;FALSE
4;20,52;NiKo;CT;G2 Esports;FALSE;TRUE;karrigan;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
4;57,57;NiKo;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
4;66,22;NiKo;CT;G2 Esports;FALSE;TRUE;Twistzz;T;FaZe Clan;TRUE;AK-47;FALSE;TRUE;FALSE
4;74,21;NiKo;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
4;77,26;ropz;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;AK-47;FALSE;TRUE;TRUE
4;79,13;HooXi;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;M4A4;FALSE;FALSE;TRUE
5;40,27;huNter;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;AK-47;FALSE;TRUE;FALSE
5;41,77;m0NESY;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;TRUE;AWP;FALSE;FALSE;FALSE
5;45,36;broky;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;Tec-9;FALSE;FALSE;FALSE
5;49,2;m0NESY;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
5;51,23;jks;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
5;52,89;jks;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;M4A4;TRUE;TRUE;FALSE
6;70,99;HooXi;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;TRUE;AK-47;FALSE;FALSE;FALSE
6;73,88;NiKo;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
6;83,05;HooXi;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
6;84,22;huNter;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;AUG;TRUE;FALSE;FALSE
6;90,12;m0NESY;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
7;42,28;NiKo;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
7;50,18;huNter;CT;G2 Esports;FALSE;TRUE;karrigan;T;FaZe Clan;TRUE;AUG;TRUE;TRUE;FALSE
7;50,41;rain;T;FaZe Clan;FALSE;TRUE;huNter;CT;G2 Esports;TRUE;AK-47;TRUE;FALSE;TRUE
7;62,93;HooXi;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
7;66,46;rain;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;FALSE;TRUE;TRUE
7;75,55;NiKo;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
7;81,04;ropz;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;AK-47;FALSE;TRUE;FALSE
7;99,02;m0NESY;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;Tec-9;FALSE;FALSE;FALSE
8;14,07;NiKo;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;TRUE;M4A4;TRUE;FALSE;FALSE
8;62,07;m0NESY;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
8;76,13;HooXi;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;TRUE;M4A4;TRUE;FALSE;FALSE
8;79,35;huNter;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;AUG;FALSE;FALSE;FALSE
8;80,43;huNter;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;TRUE;AUG;FALSE;TRUE;FALSE
9;31,75;jks;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
9;76,45;rain;T;FaZe Clan;FALSE;TRUE;NiKo;CT;G2 Esports;TRUE;AK-47;TRUE;FALSE;FALSE
9;79,85;karrigan;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;FALSE;TRUE;FALSE
9;124,26;jks;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;AK-47;TRUE;TRUE;FALSE
9;125,18;jks;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
9;125,59;jks;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
9;129,05;huNter;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
10;26,11;Twistzz;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;TRUE;MAC-10;FALSE;FALSE;FALSE
10;32,77;HooXi;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;TRUE;M4A1-S;FALSE;FALSE;FALSE
10;39,79;broky;T;FaZe Clan;FALSE;TRUE;HooXi;CT;G2 Esports;TRUE;Galil AR;TRUE;FALSE;FALSE
11;39,32;Twistzz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
11;39,55;huNter;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;TRUE;AK-47;FALSE;TRUE;FALSE
11;89,41;ropz;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
11;90,05;jks;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
11;92,26;jks;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
11;92,63;ropz;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;TRUE
11;126,84;huNter;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
11;128,22;ropz;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;TRUE
11;134,4;NiKo;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;TRUE;M4A4;FALSE;FALSE;FALSE
12;9,91;m0NESY;CT;G2 Esports;FALSE;TRUE;rain;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
12;63,7;NiKo;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;TRUE;M4A1-S;FALSE;FALSE;FALSE
12;67,86;ropz;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;TRUE;AK-47;TRUE;FALSE;FALSE
12;69,03;broky;T;FaZe Clan;FALSE;TRUE;NiKo;CT;G2 Esports;FALSE;AWP;FALSE;TRUE;FALSE
12;69,62;m0NESY;CT;G2 Esports;FALSE;TRUE;broky;T;FaZe Clan;TRUE;AWP;FALSE;FALSE;TRUE
12;76,97;ropz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
12;82,62;m0NESY;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
12;84,35;ropz;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;TRUE
12;102,34;jks;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
13;49,25;ropz;T;FaZe Clan;FALSE;TRUE;huNter;CT;G2 Esports;FALSE;Tec-9;TRUE;FALSE;FALSE
13;50,32;jks;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;TRUE;M4A4;FALSE;FALSE;TRUE
13;50,95;jks;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
13;62,05;m0NESY;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
13;64,8;jks;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
13;106,8;m0NESY;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
14;84,1;ropz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;TRUE;TRUE;FALSE
14;114,57;karrigan;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
14;115,07;karrigan;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
14;117,07;karrigan;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
14;120,87;m0NESY;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;Desert Eagle;TRUE;FALSE;TRUE
14;122,51;m0NESY;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;Desert Eagle;TRUE;FALSE;FALSE
14;124,95;rain;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;TRUE
15;38,68;karrigan;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
15;60,38;karrigan;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
15;62,34;HooXi;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;TRUE;M4A4;FALSE;FALSE;TRUE
15;63,34;HooXi;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
15;108,97;Twistzz;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
15;111,88;broky;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
15;127,01;ropz;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
16;43,17;ropz;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;FALSE
16;43,59;m0NESY;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;Glock-18;TRUE;FALSE;TRUE
16;49,57;broky;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;FALSE
16;70,77;karrigan;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;FALSE
16;71,02;jks;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;USP-S;TRUE;FALSE;FALSE
16;74,88;broky;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;TRUE
16;76;m0NESY;T;G2 Esports;FALSE;TRUE;Twistzz;CT;FaZe Clan;FALSE;Glock-18;TRUE;FALSE;FALSE
16;76,24;broky;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;TRUE;USP-S;TRUE;FALSE;TRUE
17;20,4;HooXi;T;G2 Esports;FALSE;TRUE;karrigan;CT;FaZe Clan;TRUE;Tec-9;TRUE;TRUE;FALSE
17;29,49;rain;CT;FaZe Clan;FALSE;TRUE;HooXi;T;G2 Esports;TRUE;MP9;TRUE;TRUE;FALSE
17;29,9;m0NESY;T;G2 Esports;FALSE;TRUE;rain;CT;FaZe Clan;TRUE;AK-47;FALSE;FALSE;TRUE
17;37,37;huNter;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;Galil AR;TRUE;FALSE;FALSE
18;8,91;NiKo;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;TRUE;Galil AR;TRUE;FALSE;FALSE
18;46,77;Twistzz;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;M4A1-S;TRUE;FALSE;FALSE
18;47;ropz;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;MP9;TRUE;FALSE;FALSE
18;48,11;m0NESY;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;FALSE;TRUE;TRUE
18;49,3;m0NESY;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;TRUE
18;49,96;karrigan;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;MP9;TRUE;FALSE;TRUE
18;50,11;huNter;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;Galil AR;TRUE;FALSE;TRUE
18;66,42;NiKo;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;Galil AR;FALSE;FALSE;FALSE
19;22,35;rain;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;FALSE
19;27,44;huNter;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
19;27,59;broky;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;TRUE
19;47,89;m0NESY;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
19;49,71;NiKo;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
